Algorithm: bjps, Bound: 60, Weight: 3.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 60, Weight: 4.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 60, Weight: 5.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 60, Weight: 10.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 65, Weight: 0.1, Cost: 101.8, Time: 0.04, Success Rate: 1.0
Algorithm: bjps, Bound: 65, Weight: 1.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 65, Weight: 2.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 65, Weight: 3.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 65, Weight: 4.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 65, Weight: 5.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 65, Weight: 10.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 70, Weight: 0.1, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 70, Weight: 1.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 70, Weight: 2.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 70, Weight: 3.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 70, Weight: 4.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 70, Weight: 5.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 70, Weight: 10.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 5, Weight: 0.1, Cost: 64.63, Time: 0.56, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 5, Weight: 1.0, Cost: 64.63, Time: 0.37, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 5, Weight: 2.0, Cost: 64.87, Time: 0.18, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 5, Weight: 3.0, Cost: 66.53, Time: 0.16, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 5, Weight: 4.0, Cost: 67.36, Time: 0.15, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 5, Weight: 5.0, Cost: 69.94, Time: 0.15, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 5, Weight: 10.0, Cost: 71.36, Time: 0.14, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 10, Weight: 0.1, Cost: 66.87, Time: 0.58, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 10, Weight: 1.0, Cost: 66.87, Time: 0.41, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 10, Weight: 2.0, Cost: 69.36, Time: 0.25, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 10, Weight: 3.0, Cost: 70.18, Time: 0.22, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 10, Weight: 4.0, Cost: 70.77, Time: 0.2, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 10, Weight: 5.0, Cost: 72.18, Time: 0.2, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 10, Weight: 10.0, Cost: 76.18, Time: 0.19, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 15, Weight: 0.1, Cost: 66.87, Time: 0.61, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 15, Weight: 1.0, Cost: 66.87, Time: 0.44, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 15, Weight: 2.0, Cost: 69.36, Time: 0.27, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 15, Weight: 3.0, Cost: 70.18, Time: 0.23, Success Rate: 1.0
